2025-05-12 06:50:56,846 - Spot Price: 24716.8, Supertrend: Red, Above EMA
2025-05-12 06:51:28,255 - Spot Price: 24719.85, Supertrend: Red, Above EMA
2025-05-12 06:51:59,623 - Spot Price: 24717.45, Supertrend: Red, Above EMA
2025-05-12 06:52:31,104 - Spot Price: 24714.45, Supertrend: Red, Above EMA
2025-05-12 06:53:03,023 - Spot Price: 24712.6, Supertrend: Red, Above EMA
2025-05-12 06:53:34,925 - Spot Price: 24717.2, Supertrend: Red, Above EMA
2025-05-12 06:54:06,297 - Spot Price: 24710.35, Supertrend: Red, Above EMA
2025-05-12 06:54:38,001 - Spot Price: 24710.35, Supertrend: Red, Above EMA
2025-05-12 06:55:09,908 - Spot Price: 24700.7, Supertrend: Red, Above EMA
2025-05-12 06:55:41,265 - Spot Price: 24700.7, Supertrend: Red, Above EMA
2025-05-12 06:56:13,074 - Spot Price: 24700.0, Supertrend: Red, Above EMA
2025-05-12 06:56:44,472 - Spot Price: 24701.3, Supertrend: Red, Above EMA
2025-05-12 06:57:15,992 - Spot Price: 24692.3, Supertrend: Red, Below EMA
2025-05-12 06:57:15,993 - Sell signal detected
2025-05-12 06:57:17,283 - Selected call to sell: NSE:NIFTY2552224950CE with delta ~0.409204731658436
2025-05-12 06:57:17,294 - Selected call to buy: NSE:NIFTY2552225200CE with delta ~0.30266520664264107
2025-05-12 06:57:17,294 - PAPER TRADE: SELL 1 NSE:NIFTY2552224950CE @ MARKET
2025-05-12 06:57:17,294 - PAPER TRADE: BUY 1 NSE:NIFTY2552225200CE @ MARKET
2025-05-12 06:57:17,301 - Entered SHORT position: Sold Call NSE:NIFTY2552224950CE @ 164.15, Bought Call NSE:NIFTY2552225200CE @ 85.0
2025-05-12 06:57:48,756 - Error in main loop: Unable to parse string [22-05-2025]
2025-05-12 06:58:20,052 - Error in main loop: Unable to parse string [22-05-2025]
2025-05-12 06:58:51,493 - Error in main loop: Unable to parse string [22-05-2025]
2025-05-12 06:59:23,327 - Error in main loop: Unable to parse string [22-05-2025]
2025-05-12 06:59:54,657 - Error in main loop: Unable to parse string [22-05-2025]
2025-05-12 07:00:25,994 - Error in main loop: Unable to parse string [22-05-2025]
2025-05-12 07:00:57,275 - Error in main loop: Unable to parse string [22-05-2025]
